name,review_count,categories,rating,coordinates,price,location,display_phone
Friedman's,3057,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4,"{'latitude': 40.748298, 'longitude': -73.990737}",$$,"{'address1': '132 W 31st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['132 W 31st St', 'New York, NY 10001']}",(212) 971-9400
Empanada Mama - Hell's Kitchen,3045,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]",4,"{'latitude': 40.76441, 'longitude': -73.9885}",$$,"{'address1': '765 9th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['765 9th Ave', 'New York, NY 10019']}",(212) 698-9008
Los Tacos No.1,3011,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.7,"{'latitude': 40.7575067, 'longitude': -73.9877717}",$$,"{'address1': '229 W 43rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['229 W 43rd St', 'New York, NY 10036']}",(212) 574-4696
Le Bernardin,2987,"[{'alias': 'french', 'title': 'French'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.4,"{'latitude': 40.761557, 'longitude': -73.981763}",$$$$,"{'address1': '155 W 51st St', 'address2': '', 'address3': 'The Equitable Bldg', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['155 W 51st St', 'The Equitable Bldg', 'New York, NY 10019']}",(212) 554-1515
Izakaya MEW,2973,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'izakaya', 'title': 'Izakaya'}]",4.3,"{'latitude': 40.750148, 'longitude': -73.9863203465939}",$$,"{'address1': '53 W 35th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['53 W 35th St', 'New York, NY 10001']}",(646) 368-9384
Bea,2937,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.2,"{'latitude': 40.7591968, 'longitude': -73.9923361}",$$,"{'address1': '403 W 43rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['403 W 43rd St', 'New York, NY 10036']}",(212) 602-1910
Havana Central,2931,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",3.9,"{'latitude': 40.75833809808108, 'longitude': -73.98409870613455}",$$,"{'address1': '151 W 46th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['151 W 46th St', 'New York, NY 10036']}",(212) 398-7440
Woorijip,2923,"[{'alias': 'korean', 'title': 'Korean'}]",4,"{'latitude': 40.74747, 'longitude': -73.98648}",$$,"{'address1': '12 W 32nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['12 W 32nd St', 'New York, NY 10001']}",(212) 244-1115
Anytime Kitchen ,2885,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.6,"{'latitude': 40.74776270790539, 'longitude': -73.9867793576711}",$$,"{'address1': '23 W 32nd St', 'address2': 'Fl 3', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['23 W 32nd St', 'Fl 3', 'New York, NY 10001']}",(646) 669-7733
Pure Thai Cookhouse,2852,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.2,"{'latitude': 40.764291, 'longitude': -73.988159}",$$,"{'address1': '766 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['766 9th Ave', 'New York, NY 10019']}",(212) 581-0999
Zen Ramen & Sushi,2832,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'salad', 'title': 'Salad'}]",4.5,"{'latitude': 40.75177475474212, 'longitude': -73.98897630211589}",$$,"{'address1': '150 W 36th street', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['150 W 36th street', 'New York, NY 10018']}",(646) 870-7509
Trattoria Trecolori,2717,"[{'alias': 'italian', 'title': 'Italian'}]",4.1,"{'latitude': 40.759876, 'longitude': -73.986767}",$$,"{'address1': '254 West 47th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['254 West 47th St', 'New York, NY 10036']}",(212) 997-4540
Tony's Di Napoli,2688,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.2,"{'latitude': 40.75641, 'longitude': -73.98547}",$$$,"{'address1': '147 W 43rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['147 W 43rd St', 'New York, NY 10036']}",(212) 221-0100
Jongro BBQ,2619,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bars', 'title': 'Bars'}]",4.2,"{'latitude': 40.747514, 'longitude': -73.986884}",$$,"{'address1': '22 W 32nd St', 'address2': 'Fl 2', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['22 W 32nd St', 'Fl 2', 'New York, NY 10001']}",(212) 473-2233
Pio Pio 8,2612,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",4,"{'latitude': 40.760506289326, 'longitude': -73.994564488901}",$$$,"{'address1': '604 10th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['604 10th Ave', 'New York, NY 10036']}",(212) 459-2929
NY Pizza Suprema,2597,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.3,"{'latitude': 40.7502059936523, 'longitude': -73.9953231811523}",$$,"{'address1': '413 8th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['413 8th Ave', 'New York, NY 10001']}",(212) 594-8939
John's of Times Square,2581,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.8,"{'latitude': 40.75823, 'longitude': -73.98836}",$$,"{'address1': '260 W 44th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['260 W 44th St', 'New York, NY 10036']}",(212) 391-7560
BCD Tofu House,2528,"[{'alias': 'korean', 'title': 'Korean'}]",3.9,"{'latitude': 40.747697348826584, 'longitude': -73.98606853079899}",$$,"{'address1': '5 W 32nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['5 W 32nd St', 'New York, NY 10001']}",(212) 967-1900
Ellen's Stardust Diner,2485,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.6,"{'latitude': 40.7618400790338, 'longitude': -73.9835502325409}",$$,"{'address1': '1650 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['1650 Broadway', 'New York, NY 10019']}",(212) 956-5151
Barn Joo 35,2447,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.2,"{'latitude': 40.74964, 'longitude': -73.98582}",$$,"{'address1': '34 W 35th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['34 W 35th St', 'New York, NY 10001']}",(212) 564-4430
5 Napkin Burger,2392,"[{'alias': 'burgers', 'title': 'Burgers'}]",3.8,"{'latitude': 40.76018, 'longitude': -73.991093}",$$,"{'address1': '630 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['630 9th Ave', 'New York, NY 10036']}",(212) 757-2277
Toloache 50,2282,"[{'alias': 'mexican', 'title': 'Mexican'}]",4,"{'latitude': 40.762227, 'longitude': -73.9856178382696}",$$$,"{'address1': '251 West 50th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['251 West 50th St', 'New York, NY 10012']}",(212) 581-1818
Schmackary's,2260,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.2,"{'latitude': 40.760153883881, 'longitude': -73.990944257291}",$$,"{'address1': '362 W 45th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['362 W 45th St', 'New York, NY 10036']}",(646) 801-9866
Empire State Building,2234,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'observatories', 'title': 'Observatories'}]",4,"{'latitude': 40.748448, 'longitude': -73.985669}",,"{'address1': '20 W 34th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10118', 'country': 'US', 'state': 'NY', 'display_address': ['20 W 34th St', 'New York, NY 10118']}",(212) 736-3100
Turntable Chicken Jazz,2220,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",3.8,"{'latitude': 40.74828, 'longitude': -73.98649}",$$,"{'address1': '20 W 33rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['20 W 33rd St', 'New York, NY 10001']}",(212) 714-9700
Joe's Pizza,2204,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.2,"{'latitude': 40.7547, 'longitude': -73.98696}",$,"{'address1': '1435 Broadway', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['1435 Broadway', 'New York, NY 10018']}",(646) 559-4878
Miss KOREA BBQ,2194,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",3.5,"{'latitude': 40.747452, 'longitude': -73.986336}",$$,"{'address1': '10 W 32nd St', 'address2': '1st, 2nd & Fl 3', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['10 W 32nd St', '1st, 2nd & Fl 3', 'New York, NY 10001']}",(212) 594-4963
Ayza Wine & Chocolate Bar,2136,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'newamerican', 'title': 'New American'}]",4.1,"{'latitude': 40.7471774721074, 'longitude': -73.987011312828}",$$,"{'address1': '11 W 31st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['11 W 31st St', 'New York, NY 10001']}",(212) 714-2992
Tonchin,2129,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.4,"{'latitude': 40.7502727, 'longitude': -73.9844951}",$$,"{'address1': '13 W 36th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['13 W 36th St', 'New York, NY 10018']}",(646) 692-9912
Dutch Freds,2101,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 40.760835, 'longitude': -73.987823}",$$,"{'address1': '307 W 47th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['307 W 47th St', 'New York, NY 10036']}",(646) 918-6923
Dallas BBQ,2098,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tradamerican', 'title': 'American'}]",3.1,"{'latitude': 40.757206727100176, 'longitude': -73.98871624736175}",$$,"{'address1': '241 W 42nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['241 W 42nd St', 'New York, NY 10036']}",(212) 221-9000
Calle Dao - Bryant Park,1987,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.2,"{'latitude': 40.752167, 'longitude': -73.98422161374535}",$$,"{'address1': '38 W 39th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['38 W 39th St', 'New York, NY 10018']}",(212) 221-9002
Her Name Is Han,1976,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.3,"{'latitude': 40.7462615966797, 'longitude': -73.984733581543}",$$,"{'address1': '17 E 31st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['17 E 31st St', 'New York, NY 10016']}",(212) 779-9990
Café China,1970,"[{'alias': 'szechuan', 'title': 'Szechuan'}]",3.9,"{'latitude': 40.75158498670787, 'longitude': -73.98582411501887}",$$,"{'address1': '59 W 37th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['59 W 37th St', 'New York, NY 10018']}",(212) 213-2810
Brooklyn Bagel & Coffee Company,1950,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.3,"{'latitude': 40.746183, 'longitude': -73.997642}",$,"{'address1': '286 8th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['286 8th Ave', 'New York, NY 10001']}",(212) 924-2824
Stk Steakhouse,1923,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,"{'latitude': 40.75527005017456, 'longitude': -73.98292906220698}",$$$$,"{'address1': '1114 Ave Of The Americas', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['1114 Ave Of The Americas', 'New York, NY 10036']}",(646) 624-2455
Mom's Kitchen & Bar,1917,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]",4.4,"{'latitude': 40.76247, 'longitude': -73.9901}",$$,"{'address1': '701 9th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['701 9th Ave', 'New York, NY 10019']}",(646) 657-0080
Let's Meat,1914,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'buffets', 'title': 'Buffets'}]",4,"{'latitude': 40.746774, 'longitude': -73.985524}",$$$,"{'address1': '307 5th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['307 5th Ave', 'New York, NY 10016']}",(212) 889-0089
Virgil's Real BBQ - New York,1901,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'tradamerican', 'title': 'American'}]",3.6,"{'latitude': 40.75685, 'longitude': -73.9851}",$$,"{'address1': '152 W 44th St', 'address2': '', 'address3': 'Times Square', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['152 W 44th St', 'Times Square', 'New York, NY 10036']}",(212) 921-9494
Ippudo NY,10704,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.1,"{'latitude': 40.730925, 'longitude': -73.990254}",$$,"{'address1': '65 4th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['65 4th Ave', 'New York, NY 10003']}",(212) 388-0088
The Halal Guys,10337,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}]",4.2,"{'latitude': 40.761861, 'longitude': -73.979306}",$$,"{'address1': 'W 53rd Street And 6th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['W 53rd Street And 6th Ave', 'New York, NY 10019']}",(347) 527-1505
"Levain Bakery - Original Location, 74th St, NYC",9707,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",4.6,"{'latitude': 40.779961, 'longitude': -73.980299}",$$,"{'address1': '167 W 74th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['167 W 74th St', 'New York, NY 10023']}",(917) 464-3769
LoveMama,6682,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.3,"{'latitude': 40.730408722512074, 'longitude': -73.98612673033213}",$$,"{'address1': '174 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['174 2nd Ave', 'New York, NY 10003']}",(212) 254-5370
Eataly NYC Flatiron,6153,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'grocery', 'title': 'Grocery'}]",3.9,"{'latitude': 40.742101, 'longitude': -73.989922}",$$,"{'address1': '200 5th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['200 5th Ave', 'New York, NY 10010']}",(212) 229-2560
Junior's Restaurant,6150,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]",4,"{'latitude': 40.75754728725579, 'longitude': -73.98608001118411}",$$,"{'address1': '1515 Broadway', 'address2': '45th Street between Broadway & 8th Ave', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['1515 Broadway', '45th Street between Broadway & 8th Ave', 'New York, NY 10036']}",(212) 302-2000
Burger & Lobster - Flatiron NYC,5849,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'newamerican', 'title': 'New American'}]",4.2,"{'latitude': 40.74007, 'longitude': -73.99344}",$$$,"{'address1': '39 W 19th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['39 W 19th St', 'New York, NY 10011']}",(646) 833-7532
Shake Shack Madison Square Park,5787,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4,"{'latitude': 40.74164893941913, 'longitude': -73.98811188695653}",$$,"{'address1': '23RD Street And Madison Ave Square Park', 'address2': '', 'address3': 'Madison Square Park', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['23RD Street And Madison Ave Square Park', 'Madison Square Park', 'New York, NY 10010']}",(212) 889-6600
Bibble & Sip,5742,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.4,"{'latitude': 40.76282, 'longitude': -73.98518}",$$,"{'address1': '253 W 51st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['253 W 51st St', 'New York, NY 10019']}",(646) 649-5116
Jacob's Pickles,5581,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'tradamerican', 'title': 'American'}]",4.2,"{'latitude': 40.7866504411994, 'longitude': -73.9755284786224}",$$,"{'address1': '509 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['509 Amsterdam Ave', 'New York, NY 10024']}",(212) 470-5566
Dominique Ansel Bakery,5460,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",4,"{'latitude': 40.72516, 'longitude': -74.00296}",$$$,"{'address1': '189 Spring St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['189 Spring St', 'New York, NY 10012']}",(212) 219-2773
Olio e Più,5389,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.73406231935954, 'longitude': -73.99999980859876}",$$,"{'address1': '3 Greenwich Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['3 Greenwich Ave', 'New York, NY 10014']}",(212) 243-6546
